entity,name_fa,name_en,street_address_fa,locality,country,phone_e164,website,instagram,google_maps_cid,latitude,longitude
clinic,کلینیک زیبایی دکتر سعید قزلباش,Dr. Saeed Ghezelbash Aesthetic Clinic,کرمانشاه، میدان ۱۷ شهریور، ساختمان ویستا,Kermanshah,IR,+989308209494,https://www.ghezelbaash.ir/,https://www.instagram.com/doctor.ghezelbaash/,12350483144643112463,34.3401243,47.0851778
person,دکتر سعید قزلباش,Dr. Saeed Ghezelbash,کرمانشاه، میدان ۱۷ شهریور، ساختمان ویستا,Kermanshah,IR,+989308209494,https://www.ghezelbaash.ir/dr-saeed-ghezelbash/,https://www.instagram.com/doctor.ghezelbaash/,12350483144643112463,34.3401243,47.0851778
